#,このファイルは毎木データのエラーチェックに使う各調査区のmesh_xcord/mesh_ycordの組み合わせのリストです。,
plotid,mesh_xcord,mesh_ycord
DI-DB1,30,60
DI-DB1,30,70
DI-DB1,30,80
DI-DB1,30,90
DI-DB1,40,0
DI-DB1,40,10
DI-DB1,40,20
DI-DB1,40,30
DI-DB1,40,40
DI-DB1,40,50
DI-DB1,40,60
DI-DB1,40,70
DI-DB1,40,80
DI-DB1,40,90
DI-DB1,50,0
DI-DB1,50,10
DI-DB1,50,20
DI-DB1,50,30
DI-DB1,50,40
DI-DB1,50,50
DI-DB1,50,60
DI-DB1,50,70
DI-DB1,50,80
DI-DB1,50,90
DI-DB1,60,0
DI-DB1,60,10
DI-DB1,60,20
DI-DB1,60,30
DI-DB1,60,40
DI-DB1,60,50
DI-DB1,60,60
DI-DB1,60,70
DI-DB1,60,80
DI-DB1,60,90
DI-DB1,70,0
DI-DB1,70,10
DI-DB1,70,20
DI-DB1,70,30
DI-DB1,70,40
DI-DB1,70,50
DI-DB1,70,60
DI-DB1,70,70
DI-DB1,70,80
DI-DB1,70,90
DI-DB1,80,0
DI-DB1,80,10
DI-DB1,80,20
DI-DB1,80,30
DI-DB1,80,40
DI-DB1,80,50
DI-DB1,80,60
DI-DB1,80,70
DI-DB1,80,80
DI-DB1,80,90
DI-DB1,90,0
DI-DB1,90,10
DI-DB1,90,20
DI-DB1,90,30
DI-DB1,90,40
DI-DB1,90,50
DI-DB1,90,60
DI-DB1,90,70
DI-DB1,90,80
DI-DB1,90,90
FJ-AT1,0,0
FJ-AT1,0,25
FJ-AT1,0,50
FJ-AT1,25,0
FJ-AT1,25,25
FJ-AT1,25,50
FJ-AT1,50,0
FJ-AT1,50,25
FJ-AT1,50,50
GR-DB1,0,0
GR-DB1,0,10
GR-DB1,0,20
GR-DB1,0,30
GR-DB1,0,40
GR-DB1,0,50
GR-DB1,0,60
GR-DB1,0,70
GR-DB1,0,80
GR-DB1,0,90
GR-DB1,10,0
GR-DB1,10,10
GR-DB1,10,20
GR-DB1,10,30
GR-DB1,10,40
GR-DB1,10,50
GR-DB1,10,60
GR-DB1,10,70
GR-DB1,10,80
GR-DB1,10,90
GR-DB1,20,0
GR-DB1,20,10
GR-DB1,20,20
GR-DB1,20,30
GR-DB1,20,40
GR-DB1,20,50
GR-DB1,20,60
GR-DB1,20,70
GR-DB1,20,80
GR-DB1,20,90
GR-DB1,30,0
GR-DB1,30,10
GR-DB1,30,20
GR-DB1,30,30
GR-DB1,30,40
GR-DB1,30,50
GR-DB1,30,60
GR-DB1,30,70
GR-DB1,30,80
GR-DB1,30,90
GR-DB1,40,0
GR-DB1,40,10
GR-DB1,40,20
GR-DB1,40,30
GR-DB1,40,40
GR-DB1,40,50
GR-DB1,40,60
GR-DB1,40,70
GR-DB1,40,80
GR-DB1,40,90
GR-DB1,50,0
GR-DB1,50,10
GR-DB1,50,20
GR-DB1,50,30
GR-DB1,50,40
GR-DB1,50,50
GR-DB1,50,60
GR-DB1,50,70
GR-DB1,50,80
GR-DB1,50,90
GR-DB1,60,0
GR-DB1,60,10
GR-DB1,60,20
GR-DB1,60,30
GR-DB1,60,40
GR-DB1,60,50
GR-DB1,60,60
GR-DB1,60,70
GR-DB1,60,80
GR-DB1,60,90
GR-DB1,70,0
GR-DB1,70,10
GR-DB1,70,20
GR-DB1,70,30
GR-DB1,70,40
GR-DB1,70,50
GR-DB1,70,60
GR-DB1,70,70
GR-DB1,70,80
GR-DB1,70,90
GR-DB1,80,0
GR-DB1,80,10
GR-DB1,80,20
GR-DB1,80,30
GR-DB1,80,40
GR-DB1,80,50
GR-DB1,80,60
GR-DB1,80,70
GR-DB1,80,80
GR-DB1,80,90
GR-DB1,90,0
GR-DB1,90,10
GR-DB1,90,20
GR-DB1,90,30
GR-DB1,90,40
GR-DB1,90,50
GR-DB1,90,60
GR-DB1,90,70
GR-DB1,90,80
GR-DB1,90,90
HD-DB1,0,0
HD-DB1,0,10
HD-DB1,0,20
HD-DB1,0,30
HD-DB1,0,40
HD-DB1,0,50
HD-DB1,0,60
HD-DB1,0,70
HD-DB1,0,80
HD-DB1,0,90
HD-DB1,0,100
HD-DB1,0,110
HD-DB1,10,0
