name_jp,name_jp_std,name_greenlist,match_type,status,name_gbif_accepted,species,genus,family,order,species_jp,family_jp,order_jp,categ,categ2,categ3,categ4,categ5,categ6,fruit_type,remarks
シナノガキ,リュウキュウマメガキ,Diospyros japonica Siebold et Zucc.,EXACT,accepted,Diospyros japonica Siebold & Zucc.,Diospyros japonica,Diospyros,Ebenaceae,Ericales,リュウキュウマメガキ,カキノキ科,ツツジ目,4,4,0,4,4,3,液果,use gbif name
カキノキ,,Diospyros kaki Thunb.,EXACT,accepted,Diospyros kaki L.f.,Diospyros kaki,Diospyros,Ebenaceae,Ericales,カキノキ,カキノキ科,ツツジ目,4,4,1,4,4,3,液果,not found in GreenList; found in YList; use gbif name
トキワガキ,,Diospyros morrisiana Hance,EXACT,accepted,Diospyros morrisiana Hance ex Walp.,Diospyros morrisiana,Diospyros,Ebenaceae,Ericales,トキワガキ,カキノキ科,ツツジ目,4,4,1,5,5,3,液果,use gbif name
ホツツジ,,Elliottia paniculata (Siebold et Zucc.) Benth. et Hook.f.,EXACT,accepted,Elliottia paniculata Benth. & Hook.f.,Elliottia paniculata,Elliottia,Ericaceae,Ericales,ホツツジ,ツツジ科,ツツジ目,,,,,,3,さく果,use gbif name
ネジキ,,Lyonia ovalifolia (Wall.) Drude var. elliptica (Siebold et Zucc.) Hand.-Mazz.,EXACT,accepted,Lyonia ovalifolia var. elliptica (Siebold & Zucc.) Hand.-Mazz.,Lyonia ovalifolia var. elliptica,Lyonia,Ericaceae,Ericales,ネジキ,ツツジ科,ツツジ目,,,1,,4,3,さく果,use gbif name
アセビ,,Pieris japonica (Thunb.) D.Don ex G.Don subsp. japonica,EXACT,accepted,Pieris japonica var. japonica,Pieris japonica var. japonica,Pieris,Ericaceae,Ericales,アセビ,ツツジ科,ツツジ目,4,4,1,5,5,3,さく果,use gbif name
サクラツツジ,,Rhododendron tashiroi Maxim. var. tashiroi,EXACT,accepted,Rhododendron tashiroi var. tashiroi,Rhododendron tashiroi var. tashiroi,Rhododendron,Ericaceae,Ericales,サクラツツジ,ツツジ科,ツツジ目,4,4,1,5,5,3,さく果,use gbif name
アクシバ,,Vaccinium japonicum Miq. var. japonicum,EXACT,synonym,Vaccinium japonicum Miq.,Vaccinium japonicum,Vaccinium,Ericaceae,Ericales,アクシバ,ツツジ科,ツツジ目,,,1,,4,3,液果,use gbif name
ギーマ,,Vaccinium wrightii A.Gray,EXACT,accepted,Vaccinium wrightii A.Gray,Vaccinium wrightii,Vaccinium,Ericaceae,Ericales,ギーマ,ツツジ科,ツツジ目,4,4,1,5,5,3,液果,use gbif name
ツツジ科,,Ericaceae sp.,HIGHERRANK,accepted,Ericaceae,Ericaceae sp.,,Ericaceae,Ericales,ツツジ科,ツツジ科,ツツジ目,,,,,,3,さく果,not found in GreenList; not found in YList
サカキ,,Cleyera japonica Thunb.,EXACT,accepted,Cleyera japonica Thunb.,Cleyera japonica,Cleyera,Pentaphylacaceae,Ericales,サカキ,モッコク科,ツツジ目,4,4,1,5,5,3,液果,use gbif name
